Region.Label,Area,Sample.Label,Effort,distance,species,visit
Montrave,33.2,20,2,100,w,2
Montrave,33.2,21,2,40,c,1
Montrave,33.2,21,2,27,r,1
Montrave,33.2,21,2,45,r,1
Montrave,33.2,21,2,50,w,1
Montrave,33.2,21,2,55,w,1
Montrave,33.2,21,2,45,c,2
Montrave,33.2,21,2,35,r,2
Montrave,33.2,21,2,40,w,2
Montrave,33.2,21,2,40,w,2
Montrave,33.2,21,2,65,w,2
Montrave,33.2,22,2,20,c,1
Montrave,33.2,22,2,85,c,1
Montrave,33.2,22,2,40,r,1
Montrave,33.2,22,2,40,c,2
Montrave,33.2,22,2,30,r,2
Montrave,33.2,22,2,70,r,2
Montrave,33.2,22,2,120,w,2
Montrave,33.2,23,2,30,c,1
Montrave,33.2,23,2,45,c,1
Montrave,33.2,23,2,35,w,1
Montrave,33.2,23,2,43,c,2
Montrave,33.2,23,2,50,c,2
Montrave,33.2,24,2,40,c,1
Montrave,33.2,24,2,120,c,1
Montrave,33.2,24,2,25,r,1
Montrave,33.2,24,2,40,r,1
Montrave,33.2,24,2,45,w,1
Montrave,33.2,24,2,80,c,2
Montrave,33.2,24,2,60,r,2
Montrave,33.2,24,2,50,r,2
Montrave,33.2,24,2,30,w,2
Montrave,33.2,25,2,60,c,1
Montrave,33.2,25,2,45,r,1
Montrave,33.2,25,2,50,w,1
Montrave,33.2,25,2,65,c,2
Montrave,33.2,25,2,80,r,2
Montrave,33.2,25,2,70,w,2
Montrave,33.2,26,2,40,r,1
Montrave,33.2,26,2,22,w,1
Montrave,33.2,26,2,45,w,1
Montrave,33.2,26,2,85,c,2
Montrave,33.2,26,2,25,r,2
Montrave,33.2,26,2,35,r,2
Montrave,33.2,26,2,50,r,2
Montrave,33.2,26,2,40,w,2
Montrave,33.2,26,2,35,w,2
Montrave,33.2,26,2,40,w,2
Montrave,33.2,27,2,50,c,1
Montrave,33.2,27,2,35,r,1
Montrave,33.2,27,2,45,r,1
Montrave,33.2,27,2,16,w,1
Montrave,33.2,27,2,30,w,1
Montrave,33.2,27,2,70,c,2
Montrave,33.2,27,2,60,r,2
Montrave,33.2,27,2,13,w,2
Montrave,33.2,27,2,55,w,2
Montrave,33.2,28,2,75,c,1
Montrave,33.2,28,2,70,g,1
Montrave,33.2,28,2,55,r,1
Montrave,33.2,28,2,70,w,1
Montrave,33.2,28,2,80,c,2
Montrave,33.2,28,2,60,g,2
Montrave,33.2,28,2,80,w,2
Montrave,33.2,28,2,90,w,2
Montrave,33.2,29,2,30,c,1
Montrave,33.2,29,2,70,c,1
Montrave,33.2,29,2,35,w,1
Montrave,33.2,29,2,45,w,1
Montrave,33.2,29,2,50,w,1
Montrave,33.2,29,2,18,c,2
Montrave,33.2,29,2,55,c,2
Montrave,33.2,29,2,40,w,2
Montrave,33.2,29,2,70,w,2
Montrave,33.2,29,2,80,w,2
Montrave,33.2,29,2,80,w,2
Montrave,33.2,30,2,21,c,1
Montrave,33.2,30,2,29,c,1
Montrave,33.2,30,2,45,g,1
Montrave,33.2,30,2,85,c,2
Montrave,33.2,30,2,80,g,2
Montrave,33.2,30,2,100,r,2
Montrave,33.2,30,2,25,w,2
Montrave,33.2,30,2,35,w,2
Montrave,33.2,30,2,50,w,2
Montrave,33.2,31,2,60,c,1
Montrave,33.2,31,2,60,c,1
Montrave,33.2,31,2,25,g,1
Montrave,33.2,31,2,42,w,1
Montrave,33.2,31,2,55,w,1
Montrave,33.2,31,2,80,c,2
Montrave,33.2,31,2,30,g,2
Montrave,33.2,31,2,25,r,2
Montrave,33.2,31,2,30,w,2
Montrave,33.2,31,2,75,w,2
Montrave,33.2,32,2,80,c,1
Montrave,33.2,32,2,55,g,1
Montrave,33.2,32,2,36,r,1
Montrave,33.2,32,2,45,c,2
Montrave,33.2,32,2,50,c,2
Montrave,33.2,32,2,70,c,2
Montrave,33.2,32,2,55,g,2
Montrave,33.2,32,2,25,r,2
Montrave,33.2,32,2,45,w,2
Montrave,33.2,32,2,45,w,2
Montrave,33.2,32,2,50,w,2
